same_movie,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
140,13980,11790,15023,5259,5763,7372,9858,3251,8807,17145
141,867,59,11602,4957,12893,14693,11018,14049,966,5866
142,2258,3038,9444,11807,4937,13224,2664,7575,383,4760
143,8596,2862,4306,14550,14691,16384,8387,17129,13728,11283
144,17678,11728,17521,9176,4952,10823,17038,14270,10487,5575
145,8990,6896,12415,16001,9100,2896,15508,9437,3795,8843
146,4466,527,5568,12048,16833,7479,3665,388,3447,66
147,9698,12152,3284,13929,13498,190,5313,16081,16737,2082
148,1145,10359,9617,15582,14538,14909,5055,2800,11149,8989
149,7301,6781,2629,16774,4873,14282,5329,4046,5745,8550
150,1285,16211,9933,3930,10183,10937,16514,14841,15017,8023
151,820,11345,6232,17300,2426,14310,1429,11001,17615,13222
152,2212,11446,2167,3364,1703,16596,11265,14822,3369,14185
153,5002,4796,2846,6279,17288,12829,2330,2307,4236,3199
154,7466,17629,10528,14442,6783,9646,2050,12208,7279,1461
155,11333,2798,3305,17095,2789,8349,1801,6102,3398,3659
156,8960,9598,8818,4904,12896,8159,6988,6247,16171,14820
157,11556,12686,10569,8775,14202,16830,5657,14096,2899,5040
158,13237,7201,6538,902,15379,3732,905,3123,9186,3199
159,6241,1468,3924,1480,6331,4347,13735,2446,2936,72
160,6958,5011,15236,6070,5840,10918,1552,2218,4247,15991
161,1784,8473,15359,13374,3717,16670,6292,5742,6790,12235
162,5452,9091,7068,16971,11545,14412,6603,9072,3584,8744
163,14097,11862,6881,1676,9493,5159,13926,7810,9164,14106
164,17517,11046,7785,7607,6518,16522,17148,9939,2643,40
165,6834,16318,5559,15769,12075,7370,8562,636,15628,8428
166,9950,5946,4256,15062,12365,15114,1650,13392,17441,3538
167,17292,13561,11911,11166,11647,11307,97,5004,17189,3371
168,6804,4027,12934,8372,16991,16025,681,16046,4289,13645
169,1919,4908,12257,16590,17698,7376,16846,3452,12498,826
170,8129,10891,13902,13345,8208,15435,5620,2964,1308,6638
171,5050,11882,12639,17411,4506,10255,1972,17474,8293,16260
172,11409,13362,13988,16696,15895,15412,1725,8575,6194,5182
173,11061,7141,3955,8505,3207,14554,3701,9578,988,3649
174,14114,14282,5796,16817,4873,10803,8137,10807,10127,15878
175,11064,5926,6974,571,14454,5732,5862,8596,2862,5924
176,16582,10908,2556,10188,1397,15100,2946,9726,4616,1764
177,11497,9721,5077,10093,3179,15541,3447,15560,6288,15697
178,9016,8567,1999,6387,7322,6194,14073,1485,5120,12168
179,8196,8588,10163,2330,15993,2704,1841,4228,444,9990
180,15751,13437,15404,12226,17353,3863,10363,6450,11391,4652
181,6161,8311,2960,108,4315,17281,12799,5320,6596,16262
182,17304,2669,2827,277,15092,8151,17566,15280,13931,8554
183,10546,5265,12041,2681,5526,6798,8305,3793,12947,5213
184,11291,14018,17288,6768,1242,364,11036,14026,17049,1908
185,15285,11811,6586,15988,6578,4298,2853,10912,13227,8630
186,10924,1940,13349,14967,13076,9640,17623,261,9742,13971
187,329,5926,15233,5363,8782,13614,5924,571,788,11064
188,2096,13435,9036,6437,14723,16090,17398,3828,3357,14402
189,14484,2751,11398,5621,10673,5472,1202,13298,15473,2462
190,10258,1614,5077,9698,147,12152,13452,17065,469,12033
191,12785,14410,14691,11521,2452,1905,14240,12155,3925,15124
192,4859,10301,9830,2204,396,5453,8996,17279,5115,12333
193,8394,16919,2058,14100,9486,5739,7440,5003,10821,16155
194,8765,7427,1988,13279,6937,6881,16817,17397,5510,15878
195,14308,8807,915,3732,11986,8746,2426,16422,11073,17183
196,373,5575,14588,12477,14802,8558,1824,1397,13911,7372
197,17149,1220,9471,15205,7331,4590,2112,1307,6497,1428
198,14291,2055,11308,633,11933,10530,5964,15087,10958,16132
199,6099,10774,8327,9426,12293,5732,15922,3290,17339,13082
200,6579,10691,9122,1952,574,16719,9640,13971,2027,82
201,5516,2889,15404,4671,10786,17381,4881,9048,15747,6454
202,522,2513,16071,5707,1398,29,15625,10023,6155,15722
203,6139,858,4617,2278,878,3964,1003,1811,4795,388
204,12733,1970,3697,594,3671,2494,7297,13148,2885,7291
205,17413,1551,10266,14083,7658,15324,12780,8210,2682,6365
206,1126,16734,971,14048,13914,12239,1707,12556,8637,7074
207,13740,14872,7528,4087,7310,4358,5264,2307,6135,10106
208,2852,3003,10002,14177,4547,17177,338,12619,14607,10797
209,14214,15727,13557,13658,7984,6655,16937,15699,10764,138
210,1162,922,16482,15840,13341,2958,4176,9752,6028,17704
211,10132,5224,4741,6420,12660,12411,52,12791,2329,1085
212,4122,12903,761,5120,95,12168,5564,11440,4263,7286
213,15805,9542,15511,10178,11400,4331,97,17127,2905,2256
214,17347,12467,1683,12257,2639,15169,4075,4318,1181,12915
215,11726,9909,5837,2942,7780,8438,5309,11271,15777,7158
216,9863,15234,5434,5589,8099,13318,1975,2200,4833,14209
217,14227,14169,16759,17164,14247,12005,3049,10758,15779,13276
218,17284,8941,7128,9707,11947,8947,3294,6116,8242,4853
219,16737,14893,5501,1614,6217,5500,11115,1881,17569,3692
220,9520,9914,2138,1764,4850,5745,13131,7567,8550,15138
221,845,10146,8573,17291,8087,2030,434,5688,6124,3132
222,6217,8909,14416,12199,16681,4851,2573,13112,13670,941
223,10598,7166,3274,9593,16302,12834,16707,7635,13614,14584
224,14288,12178,1350,5475,251,6309,7907,16493,15027,16555
225,9856,17361,10082,17395,1060,15820,14476,11775,9415,273
226,6933,15907,17731,8494,5641,8069,16290,7731,7480,17639
227,1228,11043,10637,5608,12689,5534,13588,11480,7118,9394
228,7679,10870,15744,15551,10269,15435,6815,1554,6711,12341
229,17210,12544,3751,1259,2811,5192,10915,5921,5819,791
230,17640,10716,16489,10479,7849,7276,9312,13117,6781,11569
231,310,4741,14830,13746,5638,13674,16689,884,2679,11891
232,4870,17539,5499,5665,6523,16366,9116,10747,2389,831
233,5654,9121,10395,16370,11666,4124,9907,16401,6318,11618
234,8309,15275,6425,12650,3908,1054,11659,10715,2573,9891
235,11919,8589,1323,3401,8027,11486,8221,17650,12760,9291
236,10978,14610,4494,6425,4235,4362,6217,9161,6838,9891
237,3387,1407,3855,3554,10299,5998,15607,13627,1327,12871
238,16558,2778,8719,8117,10856,5563,16383,4204,12462,10213
239,7253,16931,760,14782,10431,8313,1704,13796,4167,9443
240,13964,6512,10191,3226,13378,10620,11378,8382,2371,5050
241,6739,16223,8832,3315,13082,5515,2371,15922,6428,14280
242,13186,11551,5598,12987,12804,10744,2551,4415,1741,12417
243,5914,9967,7679,13727,6457,9803,16269,17390,12137,1938
244,14081,14514,9063,10589,520,14486,7279,6489,15191,15572
245,12829,15448,8056,17297,4236,549,9721,4917,11415,8273
246,15978,10296,15253,8161,16855,12651,326,6627,4406,6657
247,13326,8740,2640,9524,12096,11681,7022,3510,12892,2512
248,17261,4465,720,4345,11022,1707,2342,8637,2122,5226
249,63,82,5375,10691,1056,11355,1258,326,14340,14064
250,16843,842,12607,13587,16741,8950,4110,14789,5554,988
251,14288,224,1350,12178,5475,6309,7907,15027,10287,16493
252,4906,9645,8743,8928,6859,28,17692,2171,11265,7040
253,12139,907,12978,9690,12440,7168,10099,13784,397,471
254,10901,11430,1371,7766,3056,15697,16508,15606,6257,11444
255,5607,4709,3921,9443,8105,3414,16660,12002,14113,8277
256,1408,10363,5226,15425,15657,17431,10774,2122,10451,9170
257,17321,13629,14050,15429,14185,2890,3079,7179,13251,6510
258,5424,15238,17582,4143,10888,6058,17659,2364,698,13700
259,6064,17409,14180,11654,5583,12364,12409,5340,7280,1060
260,6052,11920,14426,11208,309,7190,4562,13971,11773,1416
261,6812,16005,9106,715,3366,5546,8847,4419,11111,2022
262,8349,13806,16412,9089,3398,9805,10736,6102,2698,3551
263,5319,13170,1730,4626,15396,13017,7929,14428,3012,11744
264,14980,912,15680,11272,16675,15550,10542,10690,6433,4220
265,17483,8240,15192,230,4006,9312,17640,13117,10716,7849
266,340,15355,7707,1871,12287,5114,16014,7955,4785,5575
267,3852,1015,350,14195,16218,4005,12423,12759,7197,8970
268,9548,12970,5141,9074,6641,10159,4524,3423,6133,10027
269,15755,16139,6702,2660,6797,6971,15048,13217,11490,7233
270,12184,11164,15070,16711,13129,12530,299,6206,571,6287
271,3248,4607,8308,4553,15384,13691,13446,4167,4148,11772
272,17233,7375,14286,10709,14863,16084,6813,17143,7153,8102
273,9415,4745,14940,15151,16113,6859,5327,4931,9645,17324
274,16563,12344,7017,8523,12041,16706,860,14221,1361,7280
275,8603,17207,6860,9136,5181,1590,1110,7928,5085,15563
276,3632,1519,14783,7013,975,13984,12143,6047,10303,16413
277,6452,10187,2827,11738,14798,2979,11056,10401,4090,2219
278,5550,15895,17121,3834,2970,3399,16331,11319,7254,15845
279,15859,7467,10024,9367,8409,1221,4701,10834,1783,2920
280,16826,1565,2901,14766,6875,15653,4175,13479,3508,12762
281,2216,13634,12624,6913,6222,8598,2132,8945,15542,11571
282,15281,6160,15386,2315,17279,16935,7386,5666,4859,13900
283,13383,8171,10504,13423,14457,3538,5190,12500,4577,8078
284,1640,11339,13478,12116,3732,10972,13053,17639,10919,16574
285,12493,16128,5293,15472,13651,15156,12317,10123,17129,8334
286,4855,3155,9357,11448,5288,16823,4148,4137,13611,6823
287,9678,14179,2387,8738,4589,17172,6907,6106,1442,5555
288,6187,12627,8676,314,668,6564,12486,10893,7638,420
289,993,13248,6268,12092,14203,14137,16552,10886,548,9265
290,5401,16707,7635,11337,15409,13614,14454,3151,10436,5363
291,66,9153,527,14354,8850,16160,9700,3632,1265,14736
292,16602,7611,4988,314,7638,12486,6187,288,12627,7765
293,10737,11671,4518,1335,10308,12905,5599,13310,1689,5142
294,12479,5267,15711,11230,17032,14837,4154,3125,2453,3712
295,10928,17295,2095,5318,14660,4661,14725,15578,8764,7032
296,11217,2761,2219,13353,4518,7734,293,10737,5142,12905
297,14890,15425,788,290,329,13614,7635,5363,14584,8782
298,13044,17049,6279,6660,3786,6135,4358,1378,15173,6795
299,6206,6287,4472,4656,17308,15058,1542,11283,3320,4306
300,1685,11950,8225,8319,10705,17237,744,4034,383,6089
301,7996,10708,1095,16487,3732,8403,11986,9478,14279,15126
302,2453,15711,14837,13214,14912,12479,15176,294,5023,360
303,13982,3918,9437,12190,5585,4500,6310,9374,16651,4061
304,17311,3183,1488,1020,8535,7695,2172,3046,2532,16587
305,4123,7381,15078,15105,1174,6859,2152,7040,1406,1518
306,6100,3846,17228,8822,17119,11883,1010,11492,11298,1473
307,8836,13294,7747,13330,7015,2273,218,8061,5739,16919
308,6261,6435,6789,4292,13445,3485,3967,10649,13905,14573
309,11913,1415,9018,9291,9122,1354,1124,1895,16244,6699
310,14830,231,4741,13746,13401,16689,12723,5638,6220,9495
311,2122,2465,5226,8782,10451,10774,5515,15425,12232,6329
312,571,2122,8782,11064,12232,5862,5762,6974,5926,8317
313,11283,16377,2152,4656,6287,5317,3106,4306,16879,4123
314,7638,6187,16602,7611,288,292,12627,4988,12486,6564
315,16057,4885,3498,9179,6233,16817,9259,15878,8240,8252
316,8580,15557,7695,2532,2102,4115,4877,5103,12834,16587
317,1147,915,2280,12888,13264,12137,6217,11474,1397,10160
318,10258,9698,11568,14232,5172,9420,3370,10674,714,7900
319,8284,13533,608,10190,11393,14197,15378,7774,10677,17118
320,16578,11066,14692,5674,4368,4763,3604,9515,5844,6217
321,10875,3818,7318,12654,3132,4176,2725,11374,5028,16076
322,12048,17676,8917,6311,15240,10765,10659,1732,12574,8068
323,16279,67,4667,13873,15237,4173,15867,13962,129,10960
324,16981,11725,7848,1755,4421,17013,11609,3718,14765,1438
325,7041,9848,2424,10130,9908,3981,4559,17449,11607,15662
326,17011,10691,11355,12651,2997,249,63,2570,1258,5375
327,3785,3602,14979,16631,8967,15740,1493,49,3294,15605
328,4464,1496,7115,3602,4079,6719,16974,917,7015,9632
329,5926,11064,788,5363,571,14691,6971,1905,13614,2452
330,7828,11337,2395,17129,8596,9592,10170,17088,2862,4306
331,788,329,571,312,11064,5926,12071,13614,6971,5363
332,15349,399,3363,4170,541,6009,10247,16610,10728,6491
333,500,2850,9179,315,15159,6233,16057,3498,13604,10803
334,16113,17324,5327,17169,9939,6859,5239,9415,17405,9645
335,17362,6435,16426,16998,14573,5594,11534,13168,3363,10672
336,3200,5216,16521,6457,13975,13233,1354,4722,6645,10971
337,8077,14624,2945,4557,2316,16362,4636,16534,3047,5947
338,17177,12619,10797,10328,14607,3419,2852,5863,17012,857
339,3741,14979,6835,10453,16383,10213,11541,16558,12779,4204
340,15355,266,16014,12287,4785,9216,7955,9411,13841,2919
341,17168,11938,4831,8942,10502,16092,10243,5744,1819,15377
342,10761,2575,17706,13897,6814,9141,15372,16732,2628,1316
343,1880,14170,13188,7063,11542,15809,15258,7372,2336,15310
344,7576,14983,7239,8293,7691,12639,1972,8908,171,17411
345,7865,10764,10141,16937,15699,138,15727,14214,209,13658
346,15544,356,6420,2856,4387,7710,17033,2679,10472,5972
347,13844,1281,1876,10862,7727,14462,17237,15693,7822,3203
348,10774,5515,10451,11165,6099,8803,8832,2122,13082,16740
349,630,13794,10247,15052,16358,6431,9066,17736,2029,6547
350,4005,16218,1015,12423,10087,267,1222,4509,2440,16176
351,7968,15744,11355,8208,10691,5833,6815,1308,16251,945
352,6421,9763,8971,12258,9495,5200,884,4368,6527,6506
353,14538,1145,13050,15582,2800,11149,10359,12090,5317,16082
354,8195,16584,13231,11200,7192,16084,14774,16688,9302,4654
355,592,7312,8069,4437,12463,15912,10672,14774,6216,13428
356,11307,1479,346,5467,2856,10472,17396,11559,13561,7807
357,12582,14999,10550,7281,571,1180,2862,4356,8644,3756
358,12612,5845,11042,9295,8536,15662,8883,14229,7756,12593
359,7596,12670,6756,10406,2585,6281,11702,13810,13090,3267
360,16235,398,9331,5199,7518,1252,14982,302,7218,16002
361,2913,17169,14103,13359,1905,5317,6206,6287,16879,3938
362,4127,11254,6961,15945,6188,17026,4587,17692,11848,1267
363,11805,7852,2992,14131,16459,13342,11910,13519,13555,16192
364,14026,1908,184,6768,17288,11291,14018,11946,11015,15173
365,11175,679,12563,3396,914,9006,15054,15632,3602,4391
366,5810,9039,14461,17090,987,13884,14156,8769,15928,5599
367,17508,3824,4652,16969,16792,6989,6080,11173,14198,5926
368,2727,14860,11287,4552,7578,12135,14847,3842,16569,11010
369,12165,17561,2988,17047,6057,6473,13933,7008,4106,12301
370,14687,13147,9001,16157,15896,9810,12657,12921,12711,14692
371,2772,16772,6920,12976,8980,2674,6371,7712,3960,3733
372,13348,16152,5249,4967,14469,6414,16893,12801,14291,9504
373,8558,11978,196,5575,12477,5580,11239,7707,5953,17301
374,4140,6493,12889,4637,5619,15678,11498,15371,11689,16817
375,6387,3242,717,8567,11433,986,178,9016,15170,5679
376,5921,17590,6116,1351,8554,4787,1942,13931,17284,3602
377,5034,16849,6746,3117,13694,8235,10456,13266,8021,15231
378,4396,6366,4586,367,6080,413,1305,12102,15677,3253
379,389,5743,13236,15140,3251,6636,2573,11310,11415,7372
380,12288,5512,2507,4084,6965,1319,14297,10327,9233,3507
381,13227,10712,1971,4686,5367,8259,5957,2001,2495,11080
382,11856,11876,1247,10415,7372,3516,5726,9790,5753,16974
383,6089,1383,8909,11950,7604,13224,12445,13308,1910,14581
384,1661,2188,5084,9074,16144,6804,2352,17009,125,6267
385,551,9645,8301,6859,7397,1645,2580,7048,4745,6343
386,7180,7650,6180,16992,8898,14391,6016,5970,894,13511
387,12664,12912,13479,965,3508,9213,15402,8296,9904,1189
388,6385,9494,10348,1635,10977,4077,7559,4567,3665,13361
389,379,8403,7798,6538,5583,6798,418,15140,10093,16042
390,12191,13058,7397,15472,1975,1798,2612,12299,708,5628
391,16436,10668,957,5932,12135,8137,8017,4552,14020,9128
392,15197,17336,5615,13064,7677,4934,2904,927,484,2249
393,5243,17558,15373,13074,7511,12818,12476,9741,5708,14209
394,11114,486,10822,12894,10222,15979,1260,3590,6373,12875
395,10353,16840,14262,8143,14057,13742,16500,626,9377,15475
396,192,9830,2549,4859,7543,12333,3362,6926,8996,101
397,9393,10099,7168,12139,12978,12440,253,907,9690,3339
398,9331,16235,5199,14982,360,1252,6084,2671,7218,12867
399,10247,541,4170,10728,15349,6431,16610,17736,2029,332
400,1912,6587,6935,7360,12919,9761,10111,8613,5473,14303
401,12678,17603,7566,15362,8160,11661,1668,12487,3526,751
402,7020,9305,1641,2416,4731,7460,1850,1752,87,3620
403,9383,3313,9770,12996,6035,8012,2289,4600,2806,4643
404,14292,9911,10247,4421,1403,12725,1459,3357,9308,6431
405,9733,6693,14211,11222,15378,14040,6807,14327,2362,8803
406,8393,10906,17169,17405,1220,17324,16262,16357,197,1307
407,17617,4059,2829,10434,9302,4654,16032,1183,13807,13761
408,674,16630,3043,2037,5982,12661,12181,17243,12446,7172
409,8656,2442,14623,12506,12640,4461,15123,17746,2459,7140
410,11839,9499,3789,62,8031,7618,2296,3119,8698,7663
411,6568,11873,11493,16458,5240,2583,13929,9264,1397,17365
412,959,14851,1977,14228,12915,13603,545,697,11290,2474
413,8782,12084,9170,5226,12232,2122,3917,1865,8846,17387
414,16379,4377,7560,3208,8244,10419,1854,9985,3743,14343
415,5213,1640,1900,6170,7480,6933,1688,8153,12204,13200
416,16703,6450,17508,9170,424,7904,9048,16740,11173,15733
417,4780,10063,5229,12111,12392,8515,8084,7414,5290,14897
418,5583,17,2159,11502,5730,406,12409,15449,17409,7939
419,3934,8018,4605,13426,8268,7377,12964,15767,15819,2085
420,5884,7765,9984,12486,2981,7883,14519,16491,9946,6564
421,7951,13016,14656,17680,17538,1031,5954,14206,15735,4830
422,15753,16233,15300,14199,10143,8908,15862,8246,12639,5187
423,3383,15944,478,8137,6467,957,7118,14562,5932,7276
424,15733,17097,9170,17508,16703,16740,5226,2149,9095,16201
425,12335,3030,7470,13488,7779,14664,1703,11443,12450,10168
426,12277,9146,6027,563,14325,11512,10685,5312,12307,8277
427,14870,16630,6918,15647,9674,8867,1026,7150,8141,6404
428,1820,13480,12831,6433,11294,16496,7733,13543,12827,16475
429,16755,7004,17624,4285,16876,9000,2243,8518,11119,1765
430,15001,6125,8695,3025,16114,2692,2126,6049,7724,4748
431,13785,11295,10019,14210,10970,473,6251,13100,12804,1316
432,17633,1759,14766,16233,9395,9433,11313,10143,8293,8246
433,11005,14734,2577,6243,2389,5055,16891,7294,7401,4739
434,2030,16224,1330,14030,5688,10908,2850,3989,8573,845
435,13850,15227,1831,15950,5160,469,7884,10804,4809,6949
436,10747,5105,8854,12839,2389,10733,11218,4256,831,10286
437,16590,12650,7376,12302,5115,11659,9118,3178,12788,11989
438,7655,5513,5020,4260,3923,6978,8215,295,9959,4171
439,10296,984,16855,11889,17469,1851,5639,7671,10458,8168
440,17231,5649,4893,5789,8009,5420,5195,13575,16327,10562
441,6898,10800,14008,3913,16691,805,16078,16207,13713,11872
